step,tag,value
0,train_loss,1.1858562231063843
0,train_auc,0.9196181893348694
0,train_accuracy,0.6012892723083496
0,val_loss,1.196526050567627
0,val_auc,0.9186050891876221
0,val_accuracy,0.5990976095199585
1,train_loss,0.7682291865348816
1,train_auc,0.9634566903114319
1,train_accuracy,0.7445909976959229
1,val_loss,0.7750359177589417
1,val_auc,0.962724506855011
1,val_accuracy,0.7469919919967651
2,train_loss,0.6017544865608215
2,train_auc,0.9770254492759705
2,train_accuracy,0.8021265268325806
2,val_loss,0.6130546927452087
2,val_auc,0.9759118556976318
2,val_accuracy,0.8029745817184448
3,train_loss,0.5069202184677124
3,train_auc,0.9831346273422241
3,train_accuracy,0.8347102999687195
3,val_loss,0.5203306078910828
3,val_auc,0.9819554090499878
3,val_accuracy,0.8345588445663452
4,train_loss,0.44195595383644104
4,train_auc,0.9868502020835876
4,train_accuracy,0.8549755215644836
4,val_loss,0.45567965507507324
4,val_auc,0.9858222603797913
4,val_accuracy,0.8554478883743286
5,train_loss,0.40159693360328674
5,train_auc,0.989126980304718
5,train_accuracy,0.8685351014137268
5,val_loss,0.41898635029792786
5,val_auc,0.9877748489379883
5,val_accuracy,0.8681483864784241
6,train_loss,0.3717450499534607
6,train_auc,0.9906758666038513
6,train_accuracy,0.8785751461982727
6,val_loss,0.39280715584754944
6,val_auc,0.9892960786819458
6,val_accuracy,0.8776738047599792
7,train_loss,0.34867629408836365
7,train_auc,0.9915632605552673
7,train_accuracy,0.8867627382278442
7,val_loss,0.3670549988746643
7,val_auc,0.9902616739273071
7,val_accuracy,0.8860294222831726
8,train_loss,0.32829591631889343
8,train_auc,0.9923532009124756
8,train_accuracy,0.8944687247276306
8,val_loss,0.3492349088191986
8,val_auc,0.9910295009613037
8,val_accuracy,0.8898729681968689
9,train_loss,0.31078702211380005
9,train_auc,0.9931357502937317
9,train_accuracy,0.8996369242668152
9,val_loss,0.33344244956970215
9,val_auc,0.991743266582489
9,val_accuracy,0.8958890438079834
