step,tag,value
0,train_loss,1.4233471155166626
0,train_auc,0.8799580335617065
0,train_accuracy,0.47719696164131165
0,val_loss,1.4257001876831055
0,val_auc,0.8808727264404297
0,val_accuracy,0.4689171016216278
1,train_loss,1.237139105796814
1,train_auc,0.9098413586616516
1,train_accuracy,0.5713359713554382
1,val_loss,1.231984257698059
1,val_auc,0.9115620255470276
1,val_accuracy,0.5688502788543701
2,train_loss,1.0899239778518677
2,train_auc,0.9307607412338257
2,train_accuracy,0.6332987546920776
2,val_loss,1.0878504514694214
2,val_auc,0.9318939447402954
2,val_accuracy,0.6315173506736755
3,train_loss,0.9904772043228149
3,train_auc,0.9443044662475586
3,train_accuracy,0.6666049361228943
3,val_loss,0.9849380850791931
3,val_auc,0.9456911683082581
3,val_accuracy,0.666276752948761
4,train_loss,0.89411461353302
4,train_auc,0.9539126753807068
4,train_accuracy,0.705764651298523
4,val_loss,0.8834447860717773
4,val_auc,0.9554425477981567
4,val_accuracy,0.7057152390480042
5,train_loss,0.8666098117828369
5,train_auc,0.9570143818855286
5,train_accuracy,0.7172495722770691
5,val_loss,0.8487356901168823
5,val_auc,0.9585536122322083
5,val_accuracy,0.7224264740943909
6,train_loss,0.8111289143562317
6,train_auc,0.961073100566864
6,train_accuracy,0.7409417629241943
6,val_loss,0.7975762486457825
6,val_auc,0.9623825550079346
6,val_accuracy,0.7403075098991394
7,train_loss,0.7914383411407471
7,train_auc,0.9636004567146301
7,train_accuracy,0.743461012840271
7,val_loss,0.7757779955863953
7,val_auc,0.9646627902984619
7,val_accuracy,0.7471590638160706
8,train_loss,0.7591999769210815
8,train_auc,0.966179370880127
8,train_accuracy,0.7607994675636292
8,val_loss,0.7432636022567749
8,val_auc,0.9672625064849854
8,val_accuracy,0.7605280876159668
9,train_loss,0.7271539568901062
9,train_auc,0.9685097336769104
9,train_accuracy,0.7685796022415161
9,val_loss,0.71121746301651
9,val_auc,0.9692928194999695
9,val_accuracy,0.7713903784751892
